PORO MATRIX,PERMX MATRIX (mD),PORO CRACK,PERMX CRACK (mD),OIL RATE 0 (SM3/DAY),OIL RATE 1 (SM3/DAY),OIL RATE 2 (SM3/DAY),OIL RATE 3 (SM3/DAY),OIL RATE 4 (SM3/DAY),OIL RATE 5 (SM3/DAY),OIL RATE 6 (SM3/DAY),OIL RATE 7 (SM3/DAY),OIL RATE 8 (SM3/DAY),OIL RATE 9 (SM3/DAY),OIL RATE 10 (SM3/DAY),OIL RATE 11 (SM3/DAY),OIL RATE 12 (SM3/DAY),OIL RATE 13 (SM3/DAY),OIL RATE 14 (SM3/DAY),OIL RATE 15 (SM3/DAY),OIL RATE 16 (SM3/DAY),OIL RATE 17 (SM3/DAY),OIL RATE 18 (SM3/DAY),OIL RATE 19 (SM3/DAY),OIL RATE 20 (SM3/DAY),OIL RATE 21 (SM3/DAY),OIL RATE 22 (SM3/DAY),OIL RATE 23 (SM3/DAY),OIL RATE 24 (SM3/DAY),OIL RATE 25 (SM3/DAY),OIL RATE 26 (SM3/DAY),OIL RATE 27 (SM3/DAY),OIL RATE 28 (SM3/DAY),OIL RATE 29 (SM3/DAY),OIL RATE 30 (SM3/DAY),OIL RATE 31 (SM3/DAY),OIL RATE 32 (SM3/DAY),OIL RATE 33 (SM3/DAY),OIL RATE 34 (SM3/DAY),OIL RATE 35 (SM3/DAY),OIL RATE 36 (SM3/DAY),OIL RATE 37 (SM3/DAY),OIL RATE 38 (SM3/DAY),OIL RATE 39 (SM3/DAY),OIL RATE 40 (SM3/DAY),OIL RATE 41 (SM3/DAY),OIL RATE 42 (SM3/DAY),OIL RATE 43 (SM3/DAY),OIL RATE 44 (SM3/DAY),OIL RATE 45 (SM3/DAY),OIL RATE 46 (SM3/DAY),OIL RATE 47 (SM3/DAY),OIL RATE 48 (SM3/DAY),OIL RATE 49 (SM3/DAY),OIL RATE 50 (SM3/DAY),OIL RATE 51 (SM3/DAY),OIL RATE 52 (SM3/DAY),OIL RATE 53 (SM3/DAY),OIL RATE 54 (SM3/DAY),OIL RATE 55 (SM3/DAY),OIL RATE 56 (SM3/DAY),OIL RATE 57 (SM3/DAY),OIL RATE 58 (SM3/DAY),OIL RATE 59 (SM3/DAY),OIL RATE 60 (SM3/DAY)
0.1775,8.350625,0.0384125,444.875,0,452.2205,281.9055,181.4378,117.5324,76.46229,50.09097,33.07677,21.90663,22.81251,87.53259,149.6774,200.1793,240.2592,272.5075,298.6982,319.9998,336.9994,349.7778,357.9932,362.1138,362.8358,361.1347,357.7164,353.2686,348.1281,342.4928,336.5665,330.2903,323.7883,317.0014,309.9446,302.6797,295.152,287.4417,279.4412,271.2495,262.7905,254.1387,245.3052,236.3101,227.1637,217.8561,208.4168,199.0138,189.5923,180.2561,171.1564,162.217,153.6632,145.4154,137.5721,130.1588,123.1245,116.4275,110.1806,104.2904,98.79874,93.62064,88.62532,83.99811
0.178375,2.321875,0.0132125,596,0,237.2867,191.7555,154.3891,125.1542,101.814,83.0648,67.92373,55.63476,46.05011,38.16014,31.65034,26.27148,21.82876,18.17471,20.62201,54.30834,87.12379,117.0616,143.5785,163.8358,176.7352,185.8772,194.1927,202.0659,209.0435,214.9385,219.6662,223.2922,225.8327,227.2514,227.5835,226.9015,225.2782,222.7748,219.395,215.2673,210.525,205.1582,199.3309,193.1707,186.7677,180.1992,173.533,166.8523,160.2061,153.6234,147.2484,141.0575,135.0058,129.173,123.6004,118.3071,113.1948,108.2125,103.4963,99.0505,94.80075,90.854,86.65803,82.37943
0.170875,4.938125,0.02766875,335.1875,0,301.144,227.887,172.721,132.002,101.2117,77.77096,59.87692,46.87643,36.74347,28.90443,22.80008,18.00213,27.9966,70.47038,111.3565,146.2043,176.7588,203.8462,227.8029,248.568,265.4424,277.9678,286.5129,291.9223,295.0939,296.8328,297.5212,297.4197,296.4845,294.7309,292.2293,288.915,284.811,280.0539,274.6028,268.5543,261.8837,254.6742,246.9603,238.8213,230.2642,221.3291,212.0484,202.611,193.0887,183.4733,174.0479,164.7466,155.759,147.1035,138.7924,130.9405,123.4412,116.3676,109.7314,103.4924,97.64111,92.03975,86.80898,81.93594
0.16275,5.9505,0.0417875,286.4375,0,360.9188,249.5488,175.589,124.0621,87.9603,62.54242,44.59945,32.81657,24.20116,17.87615,39.25813,93.21347,143.1569,184.5438,218.8564,247.8811,272.6111,293.7044,311.3685,325.9157,337.1185,344.8289,349.201,350.6818,349.7951,347.2413,343.4731,338.8009,333.5141,327.6536,321.3336,314.5872,307.4616,299.9454,292.1187,283.9903,275.5644,266.9013,257.9949,248.9186,239.6058,230.2076,220.7159,211.1427,201.5388,192.0747,182.6492,173.5362,164.6153,156.0229,147.8204,139.9288,132.4742,125.4049,118.6987,112.3343,106.395,100.8111,95.55692,90.56459
0.154,2.7655,0.0212,1115.1875,0,420.1661,219.5578,123.094,69.81461,40.03331,23.1282,32.86418,127.568,204.3596,260.4831,299.454,320.4456,325.481,321.0889,313.3172,304.8954,296.5723,288.4182,280.2947,272.0258,263.6462,255.1702,246.5761,237.9411,229.2819,220.6506,212.0903,203.6236,195.3492,187.2548,179.3949,171.7829,164.4542,157.4276,150.7076,144.292,138.1746,132.3344,126.7716,121.4497,116.4005,111.5675,106.9531,102.4786,98.28574,94.42458,89.75074,85.94695,82.74554,78.90839,74.58723,69.90481,65.63278,63.09455,60.21962,57.25322,54.4402,51.6871,49.04267,46.67566
0.1715,7.122125,0.0377375,1629.5,0,505.0194,149.755,46.77928,16.42579,157.8967,271.1098,333.6675,369.2315,388.8154,397.4439,397.4779,391.146,380.8537,369.1511,357.5796,346.8696,337.1411,328.3137,320.1154,312.391,304.8875,297.5181,290.2628,282.9977,275.7309,268.4612,261.1536,253.8469,246.5474,239.2454,231.9682,224.7368,217.538,210.415,203.4057,196.4767,189.63,182.9361,176.4345,170.0863,163.9255,157.9382,152.1338,146.6079,141.0737,135.6835,130.864,125.3267,119.9327,114.7708,109.6212,103.8909,97.14294,89.84652,84.44453,79.51571,74.69633,70.06565,65.39447,60.82272
0.165125,5.70025,0.036275,1124.9375,0,517.793,205.2565,88.47409,38.98449,17.45848,119.2716,224.7146,294.18,339.9375,369.2477,386.2908,392.9203,390.9431,382.9306,371.6441,359.5749,347.9097,337.1375,327.2827,318.1634,309.6033,301.3812,293.3921,285.5309,277.7057,269.9365,262.1683,254.3952,246.6526,238.9213,231.2179,223.5934,216.0157,208.4828,201.0836,193.8049,186.6691,179.6803,172.8634,166.2627,159.8932,153.7133,147.7423,141.9876,136.506,131.1827,125.8018,120.9828,116.2948,110.8995,106.0347,101.5335,96.64631,91.15788,84.43797,78.55302,74.20321,70.09435,66.03455,62.08664
0.1915,3.69825,0.0156875,1280.9375,0,431.1588,269.3854,173.4991,114.4897,75.97253,50.6377,33.95466,22.83318,26.74911,91.30631,154.285,203.8611,240.5179,262.2235,273.4367,279.9966,284.6195,287.7783,289.2979,289.115,287.4438,284.5468,280.716,276.1582,270.9969,265.3333,259.2372,252.7387,245.9401,238.8449,231.4856,223.9517,216.2484,208.474,200.6568,192.8766,185.2102,177.703,170.3583,163.1865,156.2657,149.6519,143.2939,137.1502,131.252,125.6199,120.1735,115.0055,110.1965,104.9266,100.0937,96.13078,91.85648,87.01514,82.10834,76.74874,73.04858,69.88284,66.41912,62.99969
0.199125,4.983625,0.02975,1529.5625,0,589.6902,250.3521,114.8738,53.8396,25.56617,52.58686,164.8538,250.4316,308.0019,345.335,366.5705,373.7611,370.4643,361.4536,350.6688,340.1821,330.7505,322.2689,314.6862,307.4989,300.5847,293.8305,287.191,280.5876,274.0032,267.4841,260.9808,254.4964,248.0441,241.6368,235.2764,228.9467,222.66,216.4454,210.2926,204.2152,198.2204,192.3286,186.5364,180.891,175.3522,169.9527,164.7251,159.6387,154.4095,149.4349,144.8917,139.5065,134.4255,129.8249,124.9247,119.3788,112.8867,105.9153,101.0261,96.57311,92.01383,87.56595,83.17089,78.86413
0.151375,2.094375,0.04330625,622.8125,0,469.0434,226.4412,117.4636,61.64529,32.77245,17.60145,84.99758,176.1125,245.284,296.8369,334.3027,361.0139,378.7203,387.7939,388.3165,381.2573,368.6532,353.015,336.3906,320.3133,305.3009,291.6613,279.3516,268.2162,258.0905,248.7795,240.1461,232.0716,224.4415,217.2055,210.29,203.652,197.2798,191.1494,185.232,179.5322,174.0517,168.7749,163.6858,158.7977,154.0992,149.5856,145.2428,141.0437,137.0009,133.1135,129.3286,125.4369,122.069,118.6749,114.6422,110.9941,107.8068,104.1226,99.51569,93.29679,88.83038,85.64546,82.38955,79.45224
